"lemma","poscode","surface"
"Ingeniería Civil","3","Ingeniería Civil"
"Ingeniería Mecánica","3","Ingeniería Mecánica"
"Ingeniería de Producción","3","Ingeniería de Producción"
"Ingeniería Química","3","Ingeniería Química"
"Ingeniería de Sistemas","3","Ingeniería de Sistemas"
"Ingeniería Eléctrica","3","Ingeniería Eléctrica"
"Contaduría Pública","3","Contaduría Pública"
"Economía Empresarial","3","Economía Empresarial"
"Ciencias Administrativas","3","Ciencias Administrativas"
"Estudios Liberales","3","Estudios Liberales"
"Derecho","3","Derecho"
"Educación","3","Educación"
"Idiomas Modernos","3","Idiomas Modernos"
"Idiomas Modernos","3","Idiomas Modernos"
"Psicología","3","Psicología"
"Administración y Contaduría","3","Administración y Contaduría"
"Ciencias Sociales","3","Ciencias Sociales"
"Comunicación Social","3","Comunicación Social"
"Economía","3","Economía"
"Filosofía","3","Filosofía"
"Teología","3","Teología"
"Letras","3","Letras"
"Ingeniería de Telecomunicaciones","3","Ingeniería de Telecomunicaciones"
"Ingeniería en Informática","3","Ingeniería en Informática"
"Ingeniería Industrial","3","Ingeniería Industrial"
"Educación","3","Educación","Educación en Biología y Química","Educación en Ciencias Pedagógicas","Educación en Ciencias Sociales","Educación en Física y Matemáticas","Educación en Filosofía","Educación Integral y Pre-escolar"
"Ingeniería de Materiales","3","Ingeniería de Materiales"
"Ingeniería Electrónica","3","Ingeniería Electrónica"
"Ingeniería de la Computación","3","Ingeniería de la Computación"
"Ingeniería Geofísica","3","Ingeniería Geofísica"
"Ingeniería de Mantenimiento","3","Ingeniería de Mantenimiento"
"Arquitectura","3","Arquitectura"
"Urbanismo","3","Urbanismo"
"Licenciatura en Química","3","Licenciatura en Química"
"Licenciatura en Matemáticas","3","Licenciatura en Matemáticas"
"Licenciatura en Física","3","Licenciatura en Física"
"Licenciatura en Biología","3","Licenciatura en Biología"
"Licenciatura en Comercio Internacional","3","Licenciatura en Comercio Internacional"
"Licenciatura en Gestión de la Hospitalidad","3","Licenciatura en Gestión de la Hospitalidad"
"Licenciatura en Estudios y Artes Liberales","3","Licenciatura en Estudios y Artes Liberales"
"Farmacia","3","Farmacia"
"Enfermería","3","Enfermería"
"Odontología","3","Odontología"
"Mecánica","3","Mecánica"
"Mecánica","3","Mecánica"
"Veterinaria","3","Veterinaria"
"Radiología","3","Radiología"
"Nutrición y Dietética","3","Nutrición y Dietética"
"Estudios Internacionales","3","Estudios Internacionales"
"Computación","3","Computación","Licenciatura en Computación"
