"lemma","poscode","surface"
"Isla Ratón","3","Isla Ratón"
"La Esmeralda","3","La Esmeralda"
"Maroa","3","Maroa"
"Puerto Ayacucho","3","Puerto Ayacucho"
"San Carlos de Río Negro","3","San Carlos de Río Negro"
"San Fernando de Atabapo","3","San Fernando de Atabapo"
"San Juan de Manapiare","3","San Juan de Manapiare"
"Anaco","3","Anaco"
"Aragua de Barcelona","3","Aragua de Barcelona"
"Barcelona","3","Barcelona"
"Caigua","3","Caigua"
"Cantaura","3","Cantaura"
"Clarines","3","Clarines"
"El Chaparro","3","El Chaparro"
"El Tigre","3","El Tigre"
"Guanta","3","Guanta"
"Lechería","3","Lechería"
"Mapire","3","Mapire"
"Onoto","3","Onoto"
"Pariguán","3","Pariguán"
"Puerto La Cruz","3","Puerto La Cruz"
"Puerto Píritu","3","Puerto Píritu"
"San José de Guanipa","3","San José de Guanipa"
"San Mateo","3","San Mateo"
"San Miguel","3","San Miguel"
"San Tomé","3","San Tomé"
"Santa Ana","3","Santa Ana"
"Soledad","3","Soledad"
"Urica","3","Urica"
"Valle de Guanape","3","Valle de Guanape"
"Vidoño","3","Vidoño"
"Zuata","3","Zuata"
"Achaguas","3","Achaguas"
"Arichuna","3","Arichuna"
"Biruaca","3","Biruaca"
"Bruzual","3","Bruzual"
"Ciudad Sucre","3","Ciudad Sucre"
"El Amparo","3","El Amparo"
"Elorza","3","Elorza"
"Guachara","3","Guachara"
"Guasdualito","3","Guasdualito"
"Mantecal","3","Mantecal"
"Puerto Páez","3","Puerto Páez"
"San Fernando de Apure","3","San Fernando de Apure"
"San Juan de Payara","3","San Juan de Payara"
"Barbacoas","3","Barbacoas"
"Cagua","3","Cagua"
"Camatagua","3","Camatagua"
"Colonia Tovar","3","Colonia Tovar"
"El Consejo","3","El Consejo"
"El Limón","3","El Limón"
"La Victoria","3","La Victoria"
"Maracay","3","Maracay"
"Ocumare de la Costa","3","Ocumare de la Costa"
"Palo Negro","3","Palo Negro"
"San Casimiro","3","San Casimiro"
"San Mateo","3","San Mateo"
"San Sebastián","3","San Sebastián"
"Santa Cruz","3","Santa Cruz"
"Turmero","3","Turmero"
"Santa Rita","3","Santa Rita"
"Arismendi","3","Arismendi"
"Barinas","3","Barinas"
"Sabaneta","3","Sabaneta"
"Caicara del Orinoco","3","Caicara del Orinoco"
"Ciudad Bolívar","3","Ciudad Bolívar"
"Ciudad Guayana","3","Ciudad Guayana"
"El Callao","3","El Callao"
"El Dorado","3","El Dorado"
"El Paují","3","El Paují"
"Guasipati","3","Guasipati"
"Iboriwo","3","Iboriwo"
"Kavanayén","3","Kavanayén"
"Maripa","3","Maripa"
"Paraitepuy de Roraima","3","Paraitepuy de Roraima"
"San Francisco de Yuruaní","3","San Francisco de Yuruaní"
"Santa Elena de Uairén","3","Santa Elena de Uairén"
"San Rafael de Kamoirán","3","San Rafael de Kamoirán"
"Upata","3","Upata"
"Wönken","3","Wönken"
"Bejuma","3","Bejuma"
"Guacara","3","Guacara"
"Güigüe","3","Güigüe"
"Los Guayos","3","Los Guayos"
"Mariara","3","Mariara"
"Morón","3","Morón"
"Naguanagua","3","Naguanagua"
"Puerto Cabello","3","Puerto Cabello"
"San Diego","3","San Diego"
"San Joaquín","3","San Joaquín"
"Tocuyito","3","Tocuyito"
"Valencia","3","Valencia"
"Cojedes","3","Cojedes"
"El Pao","3","El Pao"
"San Carlos","3","San Carlos"
"Tinaco","3","Tinaco"
"Tinaquillo","3","Tinaquillo"
"Curiapo","3","Curiapo"
"Pedernales","3","Pedernales"
"Tucupita","3","Tucupita"
"Dabajuro","3","Dabajuro"
"Coro","3","Coro"
