"lemma","poscode","surface"
"Universidad Nacional Experimental Politécnica de la Fuerza Armada Bolivariana","3","Universidad Nacional Experimental Politécnica de la Fuerza Armada Bolivariana","UNEFA"
"Universidad Metropolitana","3","Universidad Metropolitana","UNIMET"
"Universidad Simón Bolivar","3","Universidad Simón Bolivar","USB"
"Universidad Alejandro Humboldt","3","Universidad Alejandro Humboldt"
"Universidad Católica Andrés Bello","3","Universidad Católica Andrés Bello","UCAB"
"Instituto Venezolano de Investigaciones Científicas","3","Instituto Venezolano de Investigaciones Científicas","IVIC"
"Universidad Central de Venezuela","3","Universidad Central de Venezuela","UCV"
"Universidad Nacional Experimental Simón Rodríguez","3","Universidad Nacional Experimental Simón Rodríguez","UNESR"
"Universidad Pedagógica Experimental Libertador","3","Universidad Pedagógica Experimental Libertador","UPEL"
"Universidad Nacional Abierta","3","Universidad Nacional Abierta","UNA"
"Universidad Bolivariana de Venezuela","3","Universidad Bolivariana de Venezuela","UBV"
"Universidad Nacional Experimental Politécnica Antonio José de Sucre","3","Universidad Nacional Experimental Politécnica Antonio José de Sucre","UNEXPO","Universidad N. E. Politécnica A. J. de Sucre"
"Universidad José María Vargas","3","Universidad José María Vargas","UJMV"
"La Universidad Virtual Latinoamericana","3","La Universidad Virtual Latinoamericana","LUV","Universidad Virtual Latinoamericana"
"Universidad Santa María","3","Universidad Santa María","USM"
"Universidad Monteávila","3","Universidad Monteávila","UMA"
"Universidad Católica Santa Rosa","3","Universidad Católica Santa Rosa","UCSAR"
"Instituto de Estudios Sup. de Administración","3","Instituto de Estudios Sup. de Administración","Instituto de Estudios Superiores de Administración","IESA"
"Instituto Universitario Politécnico Santiago Mariño","3","Instituto Universitario Politécnico Santiago Mariño","PSM"
"Instituto Universitario de Nuevas Profesiones","3","Instituto Universitario de Nuevas Profesiones","IUNP"
"Instituto Universitario Tec. Américo Vespucio","3","Instituto Universitario Tec. Américo Vespucio","IUTAV"
"Instituto Universitario de Tecnología Industrial Rodolfo Loero Arismendi","3","Instituto Universitario de Tec. Ind. R. L. Arismendi","IUTIRLA","Instituto Universitario de Tecnología Industrial Rodolfo Loero Arismendi"
"Instituto Superior Universitario de Mercadotecnia","3","Instituto Superior Universitario de Mercadotecnia","ISUM"
